,generation_MW,VRE_MW,emissions_tonCO2PerMWh,price_dollarsPerMWh,windspeed_ms
2015-01-02 04:00:00,1000.0,0.0,0.0,25.977452,12.356667
2015-01-02 05:00:00,1000.0,0.0,0.0,27.560525,13.256667000000002
2015-01-02 06:00:00,1000.0,0.0,0.0,31.421196000000002,14.708332999999998
2015-01-02 07:00:00,1000.0,0.0,0.0,32.94133,13.481667000000002
2015-01-02 08:00:00,1000.0,0.0,0.0,31.850071999999997,11.628333
2015-01-02 09:00:00,1000.0,0.0,0.0,31.389134999999996,9.383333
2015-01-02 10:00:00,1000.0,0.0,0.0,30.70839,8.193333
2015-01-02 11:00:00,1000.0,0.0,0.0,29.842823,6.79
2015-01-02 12:00:00,1000.0,0.0,0.0,28.645778000000004,6.388333
2015-01-02 13:00:00,1000.0,0.0,0.0,27.944988000000002,5.466667
2015-01-02 14:00:00,1000.0,0.0,0.0,27.431323,5.013333
2015-01-02 15:00:00,1000.0,0.0,0.0,27.235203000000002,4.693333
2015-01-02 16:00:00,1000.0,0.0,0.0,28.251719,4.353333
2015-01-02 17:00:00,1000.0,0.0,0.0,33.057488,3.548333
2015-01-02 18:00:00,1000.0,0.0,0.0,31.966976000000003,2.996667
2015-01-02 19:00:00,1000.0,0.0,0.0,30.883159000000003,1.326667
2015-01-02 20:00:00,1000.0,0.0,0.0,30.261754999999997,1.8916669999999998
2015-01-02 21:00:00,1000.0,0.0,0.0,28.963457000000002,1.8766669999999999
2015-01-02 22:00:00,1000.0,0.0,0.0,27.6483,2.463333
2015-01-02 23:00:00,1000.0,0.0,0.0,26.701837,2.168333
2015-01-03 00:00:00,1000.0,0.0,0.0,26.669209999999996,2.7183330000000003
2015-01-03 01:00:00,1000.0,0.0,0.0,25.942565,2.375
2015-01-03 02:00:00,1000.0,0.0,0.0,25.469891,3.37
2015-01-03 03:00:00,1000.0,0.0,0.0,25.438883999999998,3.72
2015-01-03 04:00:00,1000.0,0.0,0.0,25.677132,4.776667
2015-01-03 05:00:00,1000.0,0.0,0.0,26.12213,6.165
2015-01-03 06:00:00,1000.0,0.0,0.0,28.894509999999997,6.933333
2015-01-03 07:00:00,1000.0,0.0,0.0,30.731854,7.97
2015-01-03 08:00:00,1000.0,0.0,0.0,32.792623,7.991667
2015-01-03 09:00:00,1000.0,0.0,0.0,32.569653,8.615
2015-01-03 10:00:00,1000.0,0.0,0.0,32.635288,8.206667
2015-01-03 11:00:00,1000.0,0.0,0.0,31.275196,9.075
2015-01-03 12:00:00,1000.0,0.0,0.0,29.424267999999998,10.013333
2015-01-03 13:00:00,1000.0,0.0,0.0,28.592339000000003,9.44
2015-01-03 14:00:00,1000.0,0.0,0.0,28.038178000000002,9.298333
2015-01-03 15:00:00,1000.0,0.0,0.0,27.668494,9.271666999999999
2015-01-03 16:00:00,1000.0,0.0,0.0,28.415806,10.121667
2015-01-03 17:00:00,1000.0,0.0,0.0,32.704825,10.251667
2015-01-03 18:00:00,1000.0,0.0,0.0,31.378290999999997,10.455
2015-01-03 19:00:00,1000.0,0.0,0.0,30.038411,9.271666999999999
2015-01-03 20:00:00,1000.0,0.0,0.0,28.738505,9.611667
2015-01-03 21:00:00,1000.0,0.0,0.0,27.559921999999997,13.641667000000002
2015-01-03 22:00:00,1000.0,0.0,0.0,25.751604,16.053333
2015-01-03 23:00:00,1000.0,0.0,0.0,24.877083,14.078332999999999
2015-01-04 00:00:00,1000.0,0.0,0.0,22.701729,10.338333
2015-01-04 01:00:00,1000.0,0.0,0.0,18.577669,10.741667
2015-01-04 02:00:00,1000.0,0.0,0.0,14.325755,10.35
2015-01-04 03:00:00,1000.0,0.0,0.0,14.077426999999998,11.455
2015-01-04 04:00:00,1000.0,0.0,0.0,13.433860000000001,12.266667
2015-01-04 05:00:00,1000.0,0.0,0.0,14.470920000000001,13.664
2015-01-04 06:00:00,1000.0,0.0,0.0,17.410076999999998,16.068
2015-01-04 07:00:00,1000.0,0.0,0.0,22.010098,15.92
2015-01-04 08:00:00,1000.0,0.0,0.0,23.432351,13.45
2015-01-04 09:00:00,1000.0,0.0,0.0,23.701544000000002,15.328332999999999
2015-01-04 10:00:00,1000.0,0.0,0.0,24.030146,16.848333
2015-01-04 11:00:00,1000.0,0.0,0.0,24.226929000000002,19.818333
2015-01-04 12:00:00,1000.0,0.0,0.0,23.889913,19.921667000000003
2015-01-04 13:00:00,1000.0,0.0,0.0,23.815877,20.21
2015-01-04 14:00:00,1000.0,0.0,0.0,23.972160000000002,15.55
2015-01-04 15:00:00,1000.0,0.0,0.0,24.049889,18.273332999999997
2015-01-04 16:00:00,1000.0,0.0,0.0,25.049922,16.228333
2015-01-04 17:00:00,1000.0,0.0,0.0,29.014758,16.215
2015-01-04 18:00:00,1000.0,0.0,0.0,28.900043,16.191667000000002
2015-01-04 19:00:00,1000.0,0.0,0.0,28.240126,16.65
2015-01-04 20:00:00,1000.0,0.0,0.0,27.799283000000003,17.07
2015-01-04 21:00:00,1000.0,0.0,0.0,26.661909,19.901667
2015-01-04 22:00:00,1000.0,0.0,0.0,25.44605,20.906667000000002
2015-01-04 23:00:00,1000.0,0.0,0.0,23.31353,20.548333
2015-01-05 00:00:00,1000.0,0.0,0.0,21.883512,21.071667
2015-01-05 01:00:00,1000.0,0.0,0.0,21.968526,20.973333
2015-01-05 02:00:00,1000.0,0.0,0.0,21.591468,17.658333
2015-01-05 03:00:00,1000.0,0.0,0.0,22.41907,16.023332999999997
2015-01-05 04:00:00,1000.0,0.0,0.0,23.551582999999997,17.663332999999998
2015-01-05 05:00:00,1000.0,0.0,0.0,27.015234999999997,14.391667000000002
2015-01-05 06:00:00,1000.0,0.0,0.0,32.242689,13.915
2015-01-05 07:00:00,1000.0,0.0,0.0,34.091234,12.748333
2015-01-05 08:00:00,1000.0,0.0,0.0,32.610034999999996,13.475
2015-01-05 09:00:00,1000.0,0.0,0.0,32.614222,12.2
2015-01-05 10:00:00,1000.0,0.0,0.0,32.25087,10.731667
2015-01-05 11:00:00,1000.0,0.0,0.0,31.976266,11.436667
2015-01-05 12:00:00,1000.0,0.0,0.0,30.663915999999997,11.056667
2015-01-05 13:00:00,1000.0,0.0,0.0,29.99875,9.808333
2015-01-05 14:00:00,1000.0,0.0,0.0,29.500832,9.603333000000001
2015-01-05 15:00:00,1000.0,0.0,0.0,29.514405,8.168333
2015-01-05 16:00:00,1000.0,0.0,0.0,32.328595,8.825
2015-01-05 17:00:00,1000.0,0.0,0.0,48.987701,9.446667
2015-01-05 18:00:00,1000.0,0.0,0.0,47.162626,8.843333
2015-01-05 19:00:00,1000.0,0.0,0.0,44.915112,7.661667
2015-01-05 20:00:00,1000.0,0.0,0.0,41.290199,6.873333000000001
2015-01-05 21:00:00,1000.0,0.0,0.0,37.276342,6.646667
2015-01-05 22:00:00,1000.0,0.0,0.0,31.450437,8.666667
2015-01-05 23:00:00,1000.0,0.0,0.0,29.645153000000004,9.156667
2015-01-06 00:00:00,1000.0,0.0,0.0,35.334590999999996,8.371667
2015-01-06 01:00:00,1000.0,0.0,0.0,33.986357,7.951667
2015-01-06 02:00:00,1000.0,0.0,0.0,34.156537,6.52
2015-01-06 03:00:00,1000.0,0.0,0.0,34.343925,6.358333
2015-01-06 04:00:00,1000.0,0.0,0.0,34.921389000000005,5.785
2015-01-06 05:00:00,1000.0,0.0,0.0,36.208596,5.283333
2015-01-06 06:00:00,1000.0,0.0,0.0,77.25184,5.161667
2015-01-06 07:00:00,1000.0,0.0,0.0,71.17334100000001,3.6583330000000003
2015-01-06 08:00:00,1000.0,0.0,0.0,48.636101000000004,4.39
2015-01-06 09:00:00,1000.0,0.0,0.0,45.643565,4.473333
2015-01-06 10:00:00,1000.0,0.0,0.0,44.912503,3.975
2015-01-06 11:00:00,1000.0,0.0,0.0,44.620053000000006,3.2833330000000003
2015-01-06 12:00:00,1000.0,0.0,0.0,37.905171,3.325
2015-01-06 13:00:00,1000.0,0.0,0.0,36.712869,2.535
2015-01-06 14:00:00,1000.0,0.0,0.0,34.953043,3.64
2015-01-06 15:00:00,1000.0,0.0,0.0,34.761101000000004,3.76
2015-01-06 16:00:00,1000.0,0.0,0.0,37.814892,4.776667
2015-01-06 17:00:00,1000.0,0.0,0.0,53.261562,5.213333
2015-01-06 18:00:00,1000.0,0.0,0.0,47.495009,6.6
2015-01-06 19:00:00,1000.0,0.0,0.0,45.886474,6.976667
2015-01-06 20:00:00,1000.0,0.0,0.0,41.837340999999995,6.413333000000001
2015-01-06 21:00:00,1000.0,0.0,0.0,36.986908,9.665
2015-01-06 22:00:00,1000.0,0.0,0.0,34.872396,9.416667
2015-01-06 23:00:00,1000.0,0.0,0.0,32.703971,7.991667
2015-01-07 00:00:00,1000.0,0.0,0.0,40.169771999999995,8.646666999999999
2015-01-07 01:00:00,1000.0,0.0,0.0,38.142627000000005,8.378333
2015-01-07 02:00:00,1000.0,0.0,0.0,38.240982,8.74
2015-01-07 03:00:00,1000.0,0.0,0.0,38.699507000000004,7.64
2015-01-07 04:00:00,1000.0,0.0,0.0,41.124282,8.29
2015-01-07 05:00:00,1000.0,0.0,0.0,53.213905000000004,8.641667
2015-01-07 06:00:00,1000.0,0.0,0.0,118.884084,8.081667
2015-01-07 07:00:00,1000.0,0.0,0.0,112.89913100000001,6.556667
2015-01-07 08:00:00,1000.0,0.0,0.0,89.919995,5.4183330000000005
2015-01-07 09:00:00,1000.0,0.0,0.0,81.55283,4.005
2015-01-07 10:00:00,1000.0,0.0,0.0,81.981401,3.4066669999999997
2015-01-07 11:00:00,1000.0,0.0,0.0,77.020829,1.708333
2015-01-07 12:00:00,1000.0,0.0,0.0,64.981227,2.443333
2015-01-07 13:00:00,1000.0,0.0,0.0,55.507456000000005,5.308333
2015-01-07 14:00:00,1000.0,0.0,0.0,54.358143000000005,8.11
2015-01-07 15:00:00,1000.0,0.0,0.0,56.85544399999999,10.738333
2015-01-07 16:00:00,1000.0,0.0,0.0,81.89419000000001,11.555
2015-01-07 17:00:00,1000.0,0.0,0.0,143.44155700000002,13.021666999999999
2015-01-07 18:00:00,1000.0,0.0,0.0,134.554998,15.065
2015-01-07 19:00:00,1000.0,0.0,0.0,148.081546,15.016667000000002
2015-01-07 20:00:00,1000.0,0.0,0.0,130.627689,15.041667000000002
2015-01-07 21:00:00,1000.0,0.0,0.0,120.137042,14.516667000000002
2015-01-07 22:00:00,1000.0,0.0,0.0,98.444453,15.531667
2015-01-07 23:00:00,1000.0,0.0,0.0,86.72619,17.091667
2015-01-08 00:00:00,1000.0,0.0,0.0,79.255667,18.103333
2015-01-08 01:00:00,1000.0,0.0,0.0,77.54145799999999,16.851667000000003
2015-01-08 02:00:00,1000.0,0.0,0.0,78.664814,15.815
2015-01-08 03:00:00,1000.0,0.0,0.0,83.753388,17.311667
2015-01-08 04:00:00,1000.0,0.0,0.0,84.476299,18.581667000000003
2015-01-08 05:00:00,1000.0,0.0,0.0,115.01808100000001,17.478333
2015-01-08 06:00:00,1000.0,0.0,0.0,174.170669,17.12
2015-01-08 07:00:00,1000.0,0.0,0.0,183.127653,16.005
2015-01-08 08:00:00,1000.0,0.0,0.0,133.56294,14.67
2015-01-08 09:00:00,1000.0,0.0,0.0,109.45713700000002,14.073332999999998
2015-01-08 10:00:00,1000.0,0.0,0.0,103.731871,13.515
2015-01-08 11:00:00,1000.0,0.0,0.0,95.024238,13.365
2015-01-08 12:00:00,1000.0,0.0,0.0,78.14109,12.653333
2015-01-08 13:00:00,1000.0,0.0,0.0,70.905673,11.565
2015-01-08 14:00:00,1000.0,0.0,0.0,65.972144,10.421667
2015-01-08 15:00:00,1000.0,0.0,0.0,65.517542,9.445
2015-01-08 16:00:00,1000.0,0.0,0.0,81.562353,8.788333
2015-01-08 17:00:00,1000.0,0.0,0.0,142.35343799999998,8.788333
2015-01-08 18:00:00,1000.0,0.0,0.0,131.514984,5.81
2015-01-08 19:00:00,1000.0,0.0,0.0,118.556849,5.1625
2015-01-08 20:00:00,1000.0,0.0,0.0,96.58748299999999,5.1625
2015-01-08 21:00:00,1000.0,0.0,0.0,100.370724,5.1625
2015-01-08 22:00:00,1000.0,0.0,0.0,69.545767,5.1625
2015-01-08 23:00:00,1000.0,0.0,0.0,60.620824,4.515
2015-01-09 00:00:00,1000.0,0.0,0.0,52.312697,4.783333
2015-01-09 01:00:00,1000.0,0.0,0.0,49.396738,5.465
2015-01-09 02:00:00,1000.0,0.0,0.0,47.439405,6.631667
2015-01-09 03:00:00,1000.0,0.0,0.0,49.110514,8.76
2015-01-09 04:00:00,1000.0,0.0,0.0,49.956716,10.576667
2015-01-09 05:00:00,1000.0,0.0,0.0,68.11166,11.263333
2015-01-09 06:00:00,1000.0,0.0,0.0,117.33071100000001,9.958333
2015-01-09 07:00:00,1000.0,0.0,0.0,113.09181699999999,10.14
2015-01-09 08:00:00,1000.0,0.0,0.0,86.111463,11.2225
2015-01-09 09:00:00,1000.0,0.0,0.0,74.996727,10.47
2015-01-09 10:00:00,1000.0,0.0,0.0,67.633751,12.0875
2015-01-09 11:00:00,1000.0,0.0,0.0,57.878884,12.881667
2015-01-09 12:00:00,1000.0,0.0,0.0,47.105695000000004,12.098333
2015-01-09 13:00:00,1000.0,0.0,0.0,42.767658000000004,11.883333
2015-01-09 14:00:00,1000.0,0.0,0.0,41.43172,13.158332999999999
2015-01-09 15:00:00,1000.0,0.0,0.0,40.844109,12.543333
2015-01-09 16:00:00,1000.0,0.0,0.0,47.082829,11.01
2015-01-09 17:00:00,1000.0,0.0,0.0,108.88562900000001,10.368333
2015-01-09 18:00:00,1000.0,0.0,0.0,85.73486199999999,8.293333
2015-01-09 19:00:00,1000.0,0.0,0.0,74.891491,7.2
2015-01-09 20:00:00,1000.0,0.0,0.0,73.365587,6.255
2015-01-09 21:00:00,1000.0,0.0,0.0,60.254631,6.841667
2015-01-09 22:00:00,1000.0,0.0,0.0,53.459151,7.198333
2015-01-09 23:00:00,1000.0,0.0,0.0,50.829062,7.665
2015-01-10 00:00:00,1000.0,0.0,0.0,41.013721000000004,7.67
2015-01-10 01:00:00,1000.0,0.0,0.0,40.395911,7.573333
2015-01-10 02:00:00,1000.0,0.0,0.0,39.778368,6.856667
2015-01-10 03:00:00,1000.0,0.0,0.0,39.94205,8.19
2015-01-10 04:00:00,1000.0,0.0,0.0,40.182615000000006,7.06
2015-01-10 05:00:00,1000.0,0.0,0.0,41.858629,7.263333
2015-01-10 06:00:00,1000.0,0.0,0.0,49.422723,7.385
2015-01-10 07:00:00,1000.0,0.0,0.0,66.12183900000001,7.536667
2015-01-10 08:00:00,1000.0,0.0,0.0,83.080717,8.158333
2015-01-10 09:00:00,1000.0,0.0,0.0,73.488525,7.563333
2015-01-10 10:00:00,1000.0,0.0,0.0,62.961521,7.703333
2015-01-10 11:00:00,1000.0,0.0,0.0,52.393971,8.978333000000001
2015-01-10 12:00:00,1000.0,0.0,0.0,45.133559999999996,9.088333
2015-01-10 13:00:00,1000.0,0.0,0.0,40.651571999999994,9.105
2015-01-10 14:00:00,1000.0,0.0,0.0,38.840868,8.521666999999999
2015-01-10 15:00:00,1000.0,0.0,0.0,38.548682,7.3783330000000005
2015-01-10 16:00:00,1000.0,0.0,0.0,44.126639000000004,7.176667
2015-01-10 17:00:00,1000.0,0.0,0.0,73.423517,6.925
2015-01-10 18:00:00,1000.0,0.0,0.0,70.91606800000001,6.801667
2015-01-10 19:00:00,1000.0,0.0,0.0,66.062919,6.985
2015-01-10 20:00:00,1000.0,0.0,0.0,62.492622999999995,5.77
2015-01-10 21:00:00,1000.0,0.0,0.0,54.489959999999996,5.1216669999999995
2015-01-10 22:00:00,1000.0,0.0,0.0,47.832507,4.591667
2015-01-10 23:00:00,1000.0,0.0,0.0,38.608441,2.69
2015-01-11 00:00:00,1000.0,0.0,0.0,37.215581,2.4916669999999996
2015-01-11 01:00:00,1000.0,0.0,0.0,36.970144,2.851667
2015-01-11 02:00:00,1000.0,0.0,0.0,36.737665,1.8833330000000001
2015-01-11 03:00:00,1000.0,0.0,0.0,36.132613,1.296667
2015-01-11 04:00:00,1000.0,0.0,0.0,35.504878999999995,1.26
2015-01-11 05:00:00,1000.0,0.0,0.0,37.9133,1.39
2015-01-11 06:00:00,1000.0,0.0,0.0,42.718911999999996,1.68
2015-01-11 07:00:00,1000.0,0.0,0.0,44.23188,1.458333
2015-01-11 08:00:00,1000.0,0.0,0.0,42.835112,1.331667
2015-01-11 09:00:00,1000.0,0.0,0.0,39.619372999999996,1.303333
2015-01-11 10:00:00,1000.0,0.0,0.0,35.128903,2.293333
2015-01-11 11:00:00,1000.0,0.0,0.0,33.180358,2.28
2015-01-11 12:00:00,1000.0,0.0,0.0,31.874428,2.376667
2015-01-11 13:00:00,1000.0,0.0,0.0,29.90125,4.015
2015-01-11 14:00:00,1000.0,0.0,0.0,29.052117,3.465
2015-01-11 15:00:00,1000.0,0.0,0.0,29.140621000000003,3.27
2015-01-11 16:00:00,1000.0,0.0,0.0,31.274361,3.19
2015-01-11 17:00:00,1000.0,0.0,0.0,36.692105,2.465
2015-01-11 18:00:00,1000.0,0.0,0.0,38.188381,1.465
2015-01-11 19:00:00,1000.0,0.0,0.0,37.103289000000004,1.385
2015-01-11 20:00:00,1000.0,0.0,0.0,36.862343,2.01
2015-01-11 21:00:00,1000.0,0.0,0.0,33.773199,2.5266669999999998
2015-01-11 22:00:00,1000.0,0.0,0.0,31.635751000000003,1.446667
2015-01-11 23:00:00,1000.0,0.0,0.0,29.934863,1.12
2015-01-12 00:00:00,1000.0,0.0,0.0,33.688709,1.7166669999999997
2015-01-12 01:00:00,1000.0,0.0,0.0,33.063569,2.978333
2015-01-12 02:00:00,1000.0,0.0,0.0,32.795683000000004,3.436667
2015-01-12 03:00:00,1000.0,0.0,0.0,32.290408,4.453333
2015-01-12 04:00:00,1000.0,0.0,0.0,33.70306,5.868333
2015-01-12 05:00:00,1000.0,0.0,0.0,35.379207,5.571667
2015-01-12 06:00:00,1000.0,0.0,0.0,42.531033,5.798333
2015-01-12 07:00:00,1000.0,0.0,0.0,49.266552000000004,5.735
2015-01-12 08:00:00,1000.0,0.0,0.0,43.840981,6.125
2015-01-12 09:00:00,1000.0,0.0,0.0,46.004021,5.042
2015-01-12 10:00:00,1000.0,0.0,0.0,45.020815,5.285
2015-01-12 11:00:00,1000.0,0.0,0.0,44.289515,4.726667
2015-01-12 12:00:00,1000.0,0.0,0.0,40.024568,4.41
2015-01-12 13:00:00,1000.0,0.0,0.0,38.177946999999996,4.7066669999999995
2015-01-12 14:00:00,1000.0,0.0,0.0,36.828848,6.696667
2015-01-12 15:00:00,1000.0,0.0,0.0,36.69379,9.061667
2015-01-12 16:00:00,1000.0,0.0,0.0,37.980065,9.613333
2015-01-12 17:00:00,1000.0,0.0,0.0,50.026165999999996,12.128333
2015-01-12 18:00:00,1000.0,0.0,0.0,48.456776,13.696667000000001
2015-01-12 19:00:00,1000.0,0.0,0.0,44.855353,11.938333
2015-01-12 20:00:00,1000.0,0.0,0.0,41.500419,8.258333
2015-01-12 21:00:00,1000.0,0.0,0.0,38.041734000000005,13.561667000000002
2015-01-12 22:00:00,1000.0,0.0,0.0,34.674847,18.601667000000003
2015-01-12 23:00:00,1000.0,0.0,0.0,32.006427,16.59
2015-01-13 00:00:00,1000.0,0.0,0.0,29.960154,11.21
2015-01-13 01:00:00,1000.0,0.0,0.0,28.739657,6.366
2015-01-13 02:00:00,1000.0,0.0,0.0,28.759951,8.125
2015-01-13 03:00:00,1000.0,0.0,0.0,28.813338,7.975
2015-01-13 04:00:00,1000.0,0.0,0.0,29.668258,8.162
2015-01-13 05:00:00,1000.0,0.0,0.0,32.869319,10.613333
2015-01-13 06:00:00,1000.0,0.0,0.0,42.65249,11.798333
2015-01-13 07:00:00,1000.0,0.0,0.0,45.659687,13.363332999999999
2015-01-13 08:00:00,1000.0,0.0,0.0,44.60452,14.071667000000001
2015-01-13 09:00:00,1000.0,0.0,0.0,44.870315999999995,15.101667
2015-01-13 10:00:00,1000.0,0.0,0.0,44.997876,15.211667000000002
2015-01-13 11:00:00,1000.0,0.0,0.0,44.148385,15.165
2015-01-13 12:00:00,1000.0,0.0,0.0,41.258165000000005,15.236667
2015-01-13 13:00:00,1000.0,0.0,0.0,39.545493,15.48
2015-01-13 14:00:00,1000.0,0.0,0.0,38.864905,15.361667
2015-01-13 15:00:00,1000.0,0.0,0.0,38.850513,14.62
2015-01-13 16:00:00,1000.0,0.0,0.0,42.177211,14.118332999999998
2015-01-13 17:00:00,1000.0,0.0,0.0,64.95864,14.233332999999998
2015-01-13 18:00:00,1000.0,0.0,0.0,64.021456,14.883332999999999
2015-01-13 19:00:00,1000.0,0.0,0.0,58.274597,15.59
2015-01-13 20:00:00,1000.0,0.0,0.0,49.186215000000004,15.698332999999998
2015-01-13 21:00:00,1000.0,0.0,0.0,45.161404,16.105
2015-01-13 22:00:00,1000.0,0.0,0.0,40.096696,16.55
2015-01-13 23:00:00,1000.0,0.0,0.0,36.378556,16.73
2015-01-14 00:00:00,1000.0,0.0,0.0,37.163514,16.36
2015-01-14 01:00:00,1000.0,0.0,0.0,35.950125,16.42
2015-01-14 02:00:00,1000.0,0.0,0.0,35.587625,16.228333
2015-01-14 03:00:00,1000.0,0.0,0.0,35.599989,16.028333
2015-01-14 04:00:00,1000.0,0.0,0.0,36.772714,15.371667
2015-01-14 05:00:00,1000.0,0.0,0.0,38.357489,15.413332999999998
2015-01-14 06:00:00,1000.0,0.0,0.0,58.383351,14.935
2015-01-14 07:00:00,1000.0,0.0,0.0,79.757172,14.675
2015-01-14 08:00:00,1000.0,0.0,0.0,55.045155,12.626667
2015-01-14 09:00:00,1000.0,0.0,0.0,48.466867,12.776667
2015-01-14 10:00:00,1000.0,0.0,0.0,48.123181,13.476667
2015-01-14 11:00:00,1000.0,0.0,0.0,45.95117,12.786667
2015-01-14 12:00:00,1000.0,0.0,0.0,41.427397,14.203332999999999
2015-01-14 13:00:00,1000.0,0.0,0.0,38.342048999999996,15.523333
2015-01-14 14:00:00,1000.0,0.0,0.0,37.336402,16.47
2015-01-14 15:00:00,1000.0,0.0,0.0,37.501815,15.96
2015-01-14 16:00:00,1000.0,0.0,0.0,40.10777,13.815
2015-01-14 17:00:00,1000.0,0.0,0.0,60.590743,13.446667000000001
2015-01-14 18:00:00,1000.0,0.0,0.0,64.928987,13.216667000000001
2015-01-14 19:00:00,1000.0,0.0,0.0,52.484281,14.156667
2015-01-14 20:00:00,1000.0,0.0,0.0,45.999501,14.465
2015-01-14 21:00:00,1000.0,0.0,0.0,42.906861,14.356667000000002
2015-01-14 22:00:00,1000.0,0.0,0.0,36.841147,13.965
2015-01-14 23:00:00,1000.0,0.0,0.0,35.836898,13.495
2015-01-15 00:00:00,1000.0,0.0,0.0,38.008733,12.673333
2015-01-15 01:00:00,1000.0,0.0,0.0,37.02146,11.841667
2015-01-15 02:00:00,1000.0,0.0,0.0,36.571393,11.421667
2015-01-15 03:00:00,1000.0,0.0,0.0,36.833104999999996,11.52
2015-01-15 04:00:00,1000.0,0.0,0.0,37.797786,10.491667
2015-01-15 05:00:00,1000.0,0.0,0.0,41.536507,10.028333
2015-01-15 06:00:00,1000.0,0.0,0.0,72.31522700000001,9.576667
2015-01-15 07:00:00,1000.0,0.0,0.0,77.706153,9.128333
2015-01-15 08:00:00,1000.0,0.0,0.0,55.164106999999994,9.063333
2015-01-15 09:00:00,1000.0,0.0,0.0,58.70488100000001,8.045
2015-01-15 10:00:00,1000.0,0.0,0.0,53.36903100000001,8.025
2015-01-15 11:00:00,1000.0,0.0,0.0,46.603066999999996,7.47
2015-01-15 12:00:00,1000.0,0.0,0.0,39.035157,6.991667
2015-01-15 13:00:00,1000.0,0.0,0.0,37.158359000000004,6.928333
2015-01-15 14:00:00,1000.0,0.0,0.0,36.441611,5.99
2015-01-15 15:00:00,1000.0,0.0,0.0,36.094653,5.221667
2015-01-15 16:00:00,1000.0,0.0,0.0,37.946795,3.626667
2015-01-15 17:00:00,1000.0,0.0,0.0,56.436918999999996,3.18
2015-01-15 18:00:00,1000.0,0.0,0.0,50.766657,4.0033330000000005
2015-01-15 19:00:00,1000.0,0.0,0.0,47.91411,3.895
2015-01-15 20:00:00,1000.0,0.0,0.0,44.237187,4.838333
2015-01-15 21:00:00,1000.0,0.0,0.0,39.348155,3.96
2015-01-15 22:00:00,1000.0,0.0,0.0,34.587022,3.123333
2015-01-15 23:00:00,1000.0,0.0,0.0,30.732452000000002,4.518333
2015-01-16 00:00:00,1000.0,0.0,0.0,32.792525,5.326667
2015-01-16 01:00:00,1000.0,0.0,0.0,32.435586,5.125
2015-01-16 02:00:00,1000.0,0.0,0.0,32.488669,5.41
2015-01-16 03:00:00,1000.0,0.0,0.0,32.648414,5.486667
2015-01-16 04:00:00,1000.0,0.0,0.0,33.466134000000004,5.76
2015-01-16 05:00:00,1000.0,0.0,0.0,35.077473,7.366667
2015-01-16 06:00:00,1000.0,0.0,0.0,55.483975,7.951667
2015-01-16 07:00:00,1000.0,0.0,0.0,74.540021,7.105
2015-01-16 08:00:00,1000.0,0.0,0.0,53.580176,7.268333
2015-01-16 09:00:00,1000.0,0.0,0.0,45.474999,6.588333
2015-01-16 10:00:00,1000.0,0.0,0.0,43.236477,6.711666999999999
2015-01-16 11:00:00,1000.0,0.0,0.0,42.603404,6.751666999999999
2015-01-16 12:00:00,1000.0,0.0,0.0,38.921771,6.933333
2015-01-16 13:00:00,1000.0,0.0,0.0,36.817498,7.551667
2015-01-16 14:00:00,1000.0,0.0,0.0,35.295196000000004,6.266667
